Timestamp,Name,Email,Date of birth,Age,Province,Gender,Year of Study ,Field of Study,How many hours per day do you use each platform? [Facebook],How many hours per day do you use each platform? [Instagram],How many hours per day do you use each platform? [Snapchat],How many hours per day do you use each platform? [Tiktok],How many hours per day do you use each platform? [X (Twitter)],How many hours per day do you use each platform? [Other],"On average, how many hours of sleep do you get per night?",What devices do you use to access social media,Please indicate how much you agree or disagree with the following statements about social media and your mental health: [Social media helps me feel connected to others.],Please indicate how much you agree or disagree with the following statements about social media and your mental health: [Social media makes me feel anxious or stressed.],Please indicate how much you agree or disagree with the following statements about social media and your mental health: [Social media distracts me from academic work.],Please indicate how much you agree or disagree with the following statements about social media and your mental health: [Social media improves my mood when I feel lonely.],Select any of the following reasons for using social media:
3/16/2026 16:00:00,Noah Lee,noah.lee@uvic.ca,10/26/2002,23.0,NS,Female,1.0,Physics,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop",Agree,Disagree,Disagree,Neutral,"Entertainment / passing time, Academic or professional networking, Staying informed about news/events"
3/17/2026 18:00:00,Lucas Jackson,lucas.jackson@utoronto.ca,3/14/2008,18.0,british columbia,Female,3.0,comp sci,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Tablet",Agree,,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Self-expression / creativity"
3/1/2026 11:00:00,Elena Chen,elena.chen@gmail.com,6/4/2008,17.0,B.C.,Male,1.0,Psychology,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop",Agree,Disagree,Disagree,Strong agree,"Entertainment / passing time, Staying informed about news/events, Self-expression / creativity"
3/5/2026 09:00:00,Emma Wilson,emma.wilson@outlook.com,,23.0,BC,Male,4.0,econ,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop, Tablet",Neutral,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time"
3/8/2026 19:00:00,Jamal Thomas,jamal.thomas@outlook.com,9/12/2002,23.0,ontario,Female,1.0,Physics,1.0,2.0,1.0,1.0,0.0,0.0,7.0,"Desktop computer, Gaming console",Agree,Disagree,Neutral,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/19/2026 10:00:00,Noor Wilson,noor.wilson@yahoo.com,12/23/2009,16.0,ON,Male,3.0,Computer Science,1.0,2.0,1.0,1.0,0.0,0.0,6.0,,Agree,Disagree,Neutral,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/16/2026 14:00:00,Jamal Gonzalez,jamal.gonzalez@icloud.com,5/10/2006,19.0,ON,Female,4.0,stats,1.0,2.0,1.0,2.0,0.0,0.0,6.0,"Smartphone, Laptop",Neutral,Neutral,,Neutral,"Staying in touch with friends / family, Self-expression / creativity"
3/19/2026 13:00:00,Nina Lopez,nina.lopez@unb.ca,8/27/2008,17.0,Nova Scotia,Female,1.0,Psychology,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop",Agree,Disagree,Disagree,Neutral,Self-expression / creativity
3/2/2026 15:00:00,Mateo Dubois,mateo.dubois@ubc.ca,5/14/2009,16.0,british columbia,Male,2.0,psychology,1.0,2.0,1.0,2.0,0.0,0.0,7.0,Smartphone,Neutral,Neutral,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Staying informed about news/events, Self-expression / creativity"
3/8/2026 09:00:00,Ethan Taylor,ethan.taylor@yahoo.com,,23.0,Alberta,Male,2.0,Physics,0.0,1.0,1.0,1.0,0.0,0.0,7.0,Desktop computer,,Disagree,Disagree,Neutral,Staying informed about news/events
3/12/2026 12:00:00,Chloe Patel,chloe.patel@umanitoba.ca,11/11/2006,19.0,ON,Male,1.0,comp sci,1.0,3.0,2.0,2.0,1.0,0.0,5.0,"Smartphone, Laptop, Tablet, Gaming console",Neutral,Neutral,Neutral,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/11/2026 20:00:00,Diego Gonzalez,diego.gonzalez@mun.ca,12/20/2004,21.0,british columbia,Male,2.0,Computer Science,0.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Tablet",Neutral,Disagree,Disagree,Disagree,Self-expression / creativity
3/3/2026 16:00:00,Ava Brown,,9/4/2004,21.0,Alberta,Male,3.0,chem,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Tablet, Gaming console",Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking, Self-expression / creativity"
3/16/2026 17:00:00,Amir Singh,amir.singh@usask.ca,8/4/2006,19.0,Québec,Male,4.0,Psychology,1.0,2.0,1.0,1.0,0.0,0.0,6.0,Smartphone,Disagree,Strongly disagree,Neutral,Agree,"Staying in touch with friends / family, Staying informed about news/events, Self-expression / creativity"
3/6/2026 13:00:00,Sofia Jackson,sofia.jackson@yahoo.com,10/16/2005,20.0,,Male,1.0,econ,1.0,1.0,1.0,1.0,0.0,0.0,6.0,Smartphone,Agree,Neutral,Disagree,Disagree,"Entertainment / passing time, Staying informed about news/events, Self-expression / creativity"
3/11/2026 18:00:00,Lucas Patel,lucas.patel@gmail.com,7/25/2007,18.0,British Columbia,Female,3.0,Computer Science,1.0,2.0,1.0,2.0,0.0,0.0,7.0,Smartphone,Neutral,Disagree,Disagree,Agree,"Entertainment / passing time, Staying informed about news/events, Self-expression / creativity"
3/2/2026 14:00:00,Chloe Hernandez,chloe.hernandez@hotmail.com,9/21/2003,22.0,B.C.,Prefer not to say,2.0,Physics,1.0,2.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Tablet",Neutral,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Staying informed about news/events"
3/3/2026 09:00:00,Ravi Nguyen,ravi.nguyen@lakeheadu.ca,10/22/2006,19.0,ontario,Female,3.0,Biology,0.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Desktop computer, Tablet",Neutral,Disagree,Strongly disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking"
3/6/2026 19:00:00,Nina Clark,nina.clark@wilfridlaurier.ca,11/10/2001,24.0,Alberta,Male,4.0,psycology,0.0,1.0,0.0,1.0,0.0,0.0,8.0,"Laptop, Tablet, Gaming console",Neutral,Strongly disagree,Strongly disagree,Neutral,"Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/7/2026 08:00:00,Diego Hernandez,diego.hernandez@outlook.com,9/2/2007,18.0,Alberta,Female,2.0,psycology,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Gaming console",Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/17/2026 16:00:00,Noor Ali,noor.ali@hotmail.com,2/14/2003,,British Columbia,Female,,Statistics,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop, Tablet, Gaming console, Smart TV",Agree,Disagree,Neutral,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/5/2026 18:00:00,Zara White,zara.white@gmail.com,9/22/2009,16.0,British Columbia,Non-binary,4.0,comp sci,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Tablet, Gaming console",Agree,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Staying informed about news/events"
3/13/2026 08:00:00,Ava Gonzalez,,8/31/2005,20.0,Ontario,Male,3.0,Creative Writing,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Tablet",Strong agree,Disagree,,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/5/2026 18:00:00,Zara Taylor,zara.taylor@concordia.ca,8/22/2007,18.0,B.C.,Female,4.0,Creative Writing,1.0,1.0,1.0,1.0,0.0,0.0,7.0,Gaming console,Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Staying informed about news/events, Self-expression / creativity"
3/15/2026 16:00:00,Olivia Roy,,2/13/2007,19.0,British Columbia,,4.0,enginering,1.0,2.0,1.0,1.0,0.0,0.0,6.0,Smartphone,Agree,Neutral,Neutral,Neutral,"Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/1/2026 15:00:00,Priya Jackson,priya.jackson@yorku.ca,4/17/1998,,Alberta,Female,4.0,econ,1.0,1.0,1.0,1.0,0.0,0.0,7.0,Laptop,Agree,Disagree,Disagree,Neutral,Academic or professional networking
3/6/2026 11:00:00,Lucas Gonzalez,lucas.gonzalez@proton.me,3/29/2007,18.0,BC,Female,2.0,chem,1.0,2.0,1.0,1.0,0.0,,6.0,"Smartphone, Laptop, Desktop computer",Strong agree,Disagree,Neutral,Neutral,
3/15/2026 18:00:00,Emma Ali,,2/13/2005,21.0,,Male,4.0,Psychology,1.0,2.0,1.0,2.0,0.0,0.0,7.0,"Gaming console, Smart TV",Agree,Disagree,Neutral,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/11/2026 16:00:00,Arjun Khan,arjun.khan@umanitoba.ca,6/28/2006,19.0,QC,,2.0,enginering,1.0,2.0,1.0,,0.0,0.0,8.0,Smartphone,,Disagree,Disagree,Agree,"Entertainment / passing time, Staying informed about news/events"
3/8/2026 10:00:00,Elena Hernandez,elena.hernandez@hotmail.com,,,B.C.,Female,2.0,CompSci,1.0,2.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Gaming console",Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/1/2026 12:00:00,Mei Thomas,mei.thomas@proton.me,1/11/2003,23.0,QC,Female,4.0,enginering,0.0,1.0,1.0,1.0,0.0,0.0,8.0,Smartphone,Strong agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/11/2026 17:00:00,Zara Young,zara.young@hotmail.com,,19.0,british columbia,Male,1.0,CompSci,1.0,2.0,1.0,2.0,0.0,0.0,7.0,"Laptop, Desktop computer, Tablet",Agree,Neutral,Neutral,Strong agree,Staying informed about news/events
3/6/2026 14:00:00,Emma Smith,emma.smith@umanitoba.ca,4/10/2006,19.0,AB,Male,2.0,Visual Art,0.0,1.0,1.0,1.0,0.0,0.0,,Desktop computer,Agree,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Staying informed about news/events"
3/3/2026 11:00:00,Elena Patel,elena.patel@yahoo.com,9/12/2009,16.0,B.C.,Male,1.0,Visual Art,1.0,2.0,1.0,3.0,0.0,0.0,5.0,"Smartphone, Laptop",Agree,Neutral,Neutral,Agree,"Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/13/2026 13:00:00,Leo Smith,leo.smith@hotmail.com,,24.0,Ontario,Female,2.0,stats,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Desktop computer, Gaming console",Agree,Disagree,Disagree,Agree,"Academic or professional networking, Staying informed about news/events"
3/5/2026 12:00:00,Noor Wilson,noor.wilson@gmail.com,11/9/2007,18.0,ontario,Female,3.0,Engineering,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Desktop computer, Tablet",Agree,Neutral,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time"
3/17/2026 11:00:00,Zara Thomas,zara.thomas@gmail.com,6/22/2009,16.0,ON,Male,1.0,Physics,1.0,2.0,1.0,1.0,0.0,0.0,7.0,"Laptop, Tablet",Neutral,Disagree,,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Staying informed about news/events"
3/8/2026 14:00:00,Jamal Hernandez,jamal.hernandez@stfx.ca,12/13/2005,20.0,BC,Male,4.0,Visual Art,1.0,3.0,2.0,2.0,1.0,0.0,4.0,"Smartphone, Laptop, Desktop computer, Tablet",Agree,Neutral,Neutral,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events"
3/9/2026 13:00:00,Mei Jackson,mei.jackson@outlook.com,2/24/2005,21.0,ontario,Female,1.0,Chemistry,0.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop, Tablet, Smart TV",Agree,Disagree,Disagree,Agree,"Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/10/2026 16:00:00,Olivia Harris,olivia.harris@yahoo.com,11/26/2007,,Quebec,Female,2.0,comp sci,1.0,2.0,1.0,2.0,0.0,0.0,7.0,"Smartphone, Laptop, Tablet, Gaming console",Agree,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Academic or professional networking, Self-expression / creativity"
3/19/2026 16:00:00,Jamal Clark,jamal.clark@icloud.com,8/17/2000,25.0,british columbia,Female,3.0,Physics,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Laptop, Desktop computer, Smart TV",Agree,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/3/2026 13:00:00,Diego Harris,diego.harris@ualberta.ca,12/27/2007,18.0,BC,Female,4.0,engineering,0.0,1.0,1.0,1.0,0.0,0.0,7.0,"Laptop, Tablet",Agree,,Disagree,Agree,"Entertainment / passing time, Academic or professional networking"
3/7/2026 19:00:00,Zara Moore,zara.moore@proton.me,7/6/2004,21.0,BC,Male,1.0,Computer Science,1.0,2.0,1.0,1.0,0.0,0.0,6.0,"Smartphone, Laptop, Tablet, Gaming console",Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/8/2026 12:00:00,Ethan Young,ethan.young@hotmail.com,1/7/2005,21.0,BC,Male,1.0,Physics,1.0,1.0,1.0,1.0,0.0,0.0,7.0,Laptop,Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Self-expression / creativity"
3/13/2026 11:00:00,Fatima Patel,fatima.patel@yahoo.com,3/25/2003,22.0,Ontario,Female,1.0,engineering,1.0,1.0,1.0,1.0,0.0,0.0,7.0,Smartphone,Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events"
3/8/2026 13:00:00,Fatima Nguyen,fatima.nguyen@proton.me,6/7/2008,17.0,British Columbia,Male,1.0,econ,1.0,2.0,1.0,2.0,0.0,0.0,7.0,"Smartphone, Tablet",Strong agree,Disagree,Neutral,Agree,
3/12/2026 14:00:00,Jamal Smith,jamal.smith@sfu.ca,1/10/2002,24.0,British Columbia,Female,3.0,econ,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop",Agree,Strongly disagree,Disagree,Neutral,"Entertainment / passing time, Staying informed about news/events"
3/8/2026 09:00:00,Sofia Moore,sofia.moore@gmail.com,9/6/2008,17.0,ON,Female,1.0,Psychology,1.0,2.0,1.0,2.0,0.0,0.0,6.0,Smartphone,Agree,Neutral,Neutral,Neutral,"Staying in touch with friends / family, Entertainment / passing time"
1/1/2026 11:17:00,Kai Dubois,kai.dubois@outlook.com,2/13/2002,24.0,NS,Male,2.0,psychology,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Smart TV",Strong agree,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Self-expression / creativity"
3/4/2026 18:00:00,Nina Thomas,nina.thomas@proton.me,11/21/2007,18.0,British Columbia,Female,4.0,Psychology,1.0,2.0,1.0,1.0,0.0,0.0,7.0,Desktop computer,Neutral,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/13/2026 12:00:00,Fatima Wilson,fatima.wilson@gmail.com,8/25/2005,20.0,ON,Male,3.0,enginering,1.0,2.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Desktop computer",Agree,Disagree,Neutral,Disagree,"Staying in touch with friends / family, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/15/2026 17:00:00,Leo Khan,leo.khan@outlook.com,5/28/2004,21.0,british columbia,Male,1.0,Biolgy,1.0,2.0,1.0,2.0,0.0,0.0,6.0,"Smartphone, Laptop",Neutral,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Staying informed about news/events"
3/8/2026 15:00:00,Noah Harris,noah.harris@carleton.ca,6/16/2006,19.0,BC,Male,2.0,Physics,0.0,1.0,0.0,0.0,0.0,0.0,8.0,"Smartphone, Smart TV",Agree,Strongly disagree,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking, Self-expression / creativity"
3/2/2026 09:00:00,Hana Brown,hana.brown@proton.me,8/4/1999,26.0,B.C.,Male,2.0,Engineering,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop",Agree,Disagree,Disagree,Neutral,"Staying informed about news/events, Self-expression / creativity"
3/4/2026 11:00:00,Hana Lee,hana.lee@ucalgary.ca,1/8/2008,18.0,BC,Male,2.0,Creative Writing,1.0,2.0,1.0,2.0,0.0,0.0,6.0,Gaming console,Agree,Neutral,Neutral,Strong agree,"Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/8/2026 16:00:00,Jamal Thomas,jamal.thomas@umontreal.ca,7/18/2005,20.0,Ontario,Male,3.0,Psychology,1.0,1.0,1.0,1.0,0.0,0.0,8.0,Smartphone,Strong agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
1/1/2026 11:25:00,Priya Lee,priya.lee@icloud.com,,21.0,B.C.,Female,3.0,engineering,1.0,2.0,1.0,1.0,0.0,0.0,6.0,Smartphone,Agree,,Disagree,Neutral,"Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/15/2026 11:00:00,Arjun Brown,arjun.brown@brocku.ca,3/21/2006,19.0,ON,Male,1.0,chem,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop",Neutral,,Neutral,Agree,Academic or professional networking
3/14/2026 12:00:00,Arjun Wilson,arjun.wilson@gmail.com,8/7/2007,18.0,Nova Scotia,Female,3.0,econ,1.0,2.0,1.0,2.0,0.0,0.0,7.0,Desktop computer,Neutral,Disagree,Neutral,Agree,"Staying in touch with friends / family, Entertainment / passing time, Self-expression / creativity"
3/10/2026 18:00:00,Leo Harris,leo.harris@icloud.com,3/4/2005,21.0,B.C.,Female,1.0,enginering,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop",Agree,Disagree,Disagree,Agree,"Entertainment / passing time, Staying informed about news/events, Self-expression / creativity"
3/11/2026 20:00:00,Aisha Lewis,aisha.lewis@outlook.com,6/23/2005,20.0,MB,Prefer not to say,1.0,Physics,0.0,1.0,0.0,1.0,0.0,0.0,8.0,"Smartphone, Tablet",Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Self-expression / creativity"
3/15/2026 17:00:00,Ravi Chen,ravi.chen@carleton.ca,7/5/2000,25.0,British Columbia,Male,3.0,Visual Art,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop",Strong agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Staying informed about news/events"
3/12/2026 13:00:00,Olivia Lee,olivia.lee@icloud.com,11/13/2005,20.0,B.C.,Male,2.0,stats,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Laptop, Desktop computer",Neutral,Neutral,Disagree,Neutral,Staying in touch with friends / family
3/13/2026 19:00:00,Sofia Nguyen,sofia.nguyen@gmail.com,2/3/2004,22.0,ON,Male,2.0,Creative Writing,1.0,2.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Laptop, Smart TV",Agree,,Disagree,Agree,"Staying in touch with friends / family, Self-expression / creativity"
3/18/2026 15:00:00,Priya Chen,priya.chen@ubc.ca,5/19/2007,18.0,NS,Male,3.0,enginering,1.0,2.0,1.0,1.0,0.0,0.0,7.0,"Laptop, Gaming console",Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking"
3/14/2026 20:00:00,Arjun Brown,arjun.brown@yahoo.com,4/7/2000,25.0,British Columbia,Female,3.0,Computer Science,1.0,2.0,,1.0,0.0,0.0,7.0,Gaming console,Neutral,Neutral,Neutral,Neutral,"Staying in touch with friends / family, Self-expression / creativity"
1/1/2026 11:35:00,Mateo Chen,mateo.chen@yahoo.com,11/8/2002,23.0,B.C.,Female,2.0,Psychology,1.0,2.0,1.0,1.0,0.0,0.0,6.0,"Laptop, Desktop computer, Tablet, Smart TV",Neutral,Disagree,Disagree,Strong agree,"Academic or professional networking, Self-expression / creativity"
3/2/2026 18:00:00,Olivia Ali,olivia.ali@ubc.ca,12/16/2003,,British Columbia,Male,3.0,Visual Art,1.0,1.0,1.0,1.0,0.0,0.0,7.0,"Smartphone, Smart TV",Agree,Disagree,Neutral,Agree,
3/6/2026 10:00:00,Zara Lee,zara.lee@uvic.ca,8/21/2005,20.0,,Female,1.0,Computer Science,0.0,0.0,0.0,0.0,0.0,0.0,8.0,"Laptop, Desktop computer, Gaming console",Agree,Strongly disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Self-expression / creativity"
3/5/2026 19:00:00,Ethan Jackson,ethan.jackson@outlook.com,8/27/2003,22.0,british columbia,Male,2.0,biology,0.0,0.0,0.0,0.0,0.0,0.0,9.0,"Laptop, Tablet",Strong agree,Strongly disagree,Strongly disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking"
3/10/2026 08:00:00,Ava Lopez,ava.lopez@wilfridlaurier.ca,6/24/2003,22.0,B.C.,Male,2.0,Chemistry,1.0,,1.0,1.0,0.0,0.0,7.0,Desktop computer,Strong agree,Strongly disagree,Disagree,Agree,
1/1/2026 11:40:00,Hana Gonzalez,hana.gonzalez@umontreal.ca,9/10/2004,,British Columbia,Male,3.0,Psychology,1.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop, Desktop computer",Agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/4/2026 13:00:00,Noor Gonzalez,noor.gonzalez@ubc.ca,8/3/2007,18.0,British Columbia,Female,4.0,econ,1.0,1.0,1.0,1.0,0.0,0.0,8.0,Desktop computer,Agree,Disagree,Disagree,,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/3/2026 20:00:00,Olivia Garcia,olivia.garcia@gmail.com,,24.0,B.C.,,3.0,Computer Science,1.0,2.0,1.0,2.0,0.0,0.0,,Laptop,Agree,Disagree,Agree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Self-expression / creativity"
3/3/2026 19:00:00,Hana Moore,hana.moore@gmail.com,2/1/2002,24.0,Ontario,Female,3.0,Statistics,1.0,2.0,2.0,2.0,0.0,0.0,6.0,"Smartphone, Laptop, Desktop computer",Neutral,Neutral,Agree,Agree,"Entertainment / passing time, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/9/2026 17:00:00,Chloe Martin,chloe.martin@umanitoba.ca,12/22/2006,19.0,Ontario,Male,1.0,Chemistry,1.0,2.0,1.0,2.0,0.0,0.0,6.0,"Smartphone, Tablet",Neutral,Neutral,Disagree,Neutral,Staying in touch with friends / family
3/15/2026 10:00:00,Sofia Roy,sofia.roy@gmail.com,7/24/2002,23.0,British Columbia,Female,2.0,Biolgy,1.0,1.0,1.0,1.0,0.0,,8.0,"Smartphone, Tablet, Smart TV",Neutral,Strongly disagree,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking"
3/11/2026 11:00:00,Zara Jackson,zara.jackson@gmail.com,3/19/2007,19.0,BC,Male,2.0,engineering,0.0,1.0,1.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop",Agree,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Staying informed about news/events"
3/5/2026 19:00:00,Noor Anderson,,10/20/2006,19.0,NS,Female,1.0,engineering,1.0,1.0,1.0,1.0,0.0,0.0,8.0,Smartphone,Strong agree,Disagree,Strongly disagree,Neutral,"Staying in touch with friends / family, Academic or professional networking, Staying informed about news/events, Self-expression / creativity"
3/3/2026 08:00:00,Emma Taylor,emma.taylor@proton.me,10/10/2008,17.0,Alberta,Female,1.0,engineering,1.0,2.0,1.0,1.0,0.0,0.0,6.0,"Smartphone, Laptop, Desktop computer",Disagree,Disagree,Disagree,Agree,"Entertainment / passing time, Academic or professional networking, Staying informed about news/events"
1/1/2026 11:49:00,Priya Roy,priya.roy@unb.ca,2/21/1999,27.0,british columbia,Female,1.0,stats,1.0,2.0,1.0,1.0,0.0,0.0,6.0,"Smartphone, Laptop, Tablet, Smart TV",Agree,Disagree,Disagree,Neutral,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events"
3/11/2026 08:00:00,Lucas Thomas,lucas.thomas@outlook.com,7/6/2008,17.0,Quebec,Female,1.0,Economics,1.0,2.0,1.0,3.0,0.0,0.0,5.0,"Smartphone, Laptop, Gaming console",Neutral,Neutral,Neutral,Neutral,Staying in touch with friends / family
3/1/2026 15:00:00,Kai Khan,kai.khan@brocku.ca,5/4/2009,16.0,ON,Male,3.0,stats,1.0,2.0,1.0,3.0,0.0,0.0,6.0,,Neutral,Neutral,Neutral,Neutral,Staying in touch with friends / family
3/7/2026 17:00:00,Hana Jackson,hana.jackson@icloud.com,6/29/2009,16.0,QC,Female,1.0,Engineering,1.0,1.0,1.0,1.0,0.0,0.0,6.0,"Smartphone, Laptop",Neutral,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Staying informed about news/events"
3/5/2026 16:00:00,Amir Lewis,amir.lewis@gmail.com,,23.0,British Columbia,Female,2.0,,1.0,2.0,1.0,1.0,0.0,,6.0,"Smartphone, Tablet",Neutral,Disagree,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Self-expression / creativity"
3/13/2026 13:00:00,Leo Khan,leo.khan@gmail.com,8/30/2004,21.0,Québec,Female,2.0,Economics,1.0,1.0,1.0,1.0,0.0,0.0,8.0,,Strong agree,Disagree,Disagree,Agree,"Staying in touch with friends / family, Academic or professional networking"
3/7/2026 16:00:00,Diego Ali,diego.ali@ualberta.ca,4/20/2006,19.0,BC,Female,2.0,psychology,1.0,2.0,1.0,,0.0,0.0,8.0,Desktop computer,Agree,Neutral,Disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Staying informed about news/events"
3/10/2026 09:00:00,Emma Garcia,,11/2/2006,19.0,BC,Male,2.0,comp sci,0.0,1.0,0.0,0.0,0.0,0.0,9.0,"Smartphone, Desktop computer",Agree,Disagree,Strongly disagree,Agree,"Staying in touch with friends / family, Entertainment / passing time, Academic or professional networking, Staying informed about news/events"
3/10/2026 15:00:00,Mia Brown,mia.brown@outlook.com,3/18/2004,22.0,QC,Female,2.0,Biolgy,1.0,2.0,1.0,2.0,0.0,0.0,7.0,"Smartphone, Laptop, Tablet",Neutral,Neutral,Neutral,Neutral,Entertainment / passing time
3/13/2026 19:00:00,Diego Lewis,diego.lewis@uottawa.ca,6/10/1999,26.0,Ontario,Male,2.0,Computer Science,0.0,0.0,0.0,1.0,0.0,0.0,8.0,"Smartphone, Laptop, Tablet",Agree,Disagree,Strongly disagree,Strong agree,"Academic or professional networking, Staying informed about news/events"
